account_id,is_abuse,ring_id,ring_type,shared_signals,notes
ACC_000001,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000002,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000003,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000004,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000005,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000006,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000007,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000008,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000009,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000010,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000011,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000012,True,RING_01_CARD_TESTING,card_testing,"[""ip_subnet_24"", ""device_fingerprint_pattern"", ""high_velocity_micro_declines""]",Card-testing botnet running micro-charge validations across shared /24 subnet and bot device fingerprints.
ACC_000013,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000014,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000015,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000016,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000017,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000018,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000019,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000020,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000021,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000022,True,RING_02_CARD_TESTING,card_testing,"[""device_id"", ""rapid_account_creation"", ""card_testing_declines""]",Single device emulator spinning up multiple accounts to spray stolen card attempts.
ACC_000023,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000024,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000025,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000026,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000027,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000028,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000029,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000030,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000031,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000032,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
ACC_000033,True,RING_03_CARD_TESTING,card_testing,"[""card_fingerprint_overlap"", ""distributed_card_cycling""]",Distributed ring sharing a common pool of stolen card fingerprints across distinct accounts.
