transaction_id,account_id,instrument_id,payout_destination_id,timestamp,amount,currency,transaction_type,status,merchant_id,merchant_category,ip_address,device_id
TXN_001870,ACC_000250,INST_000402,,2026-05-31T14:51:36+00:00,36.97,USD,purchase,settled,Apple App Store,digital_goods,165.241.142.88,dev_user_f68e1a173c9b
TXN_002340,ACC_000331,INST_000518,,2026-06-02T13:09:11+00:00,185.69,USD,deposit,settled,Kraken Pay,crypto_exchange,112.226.248.149,dev_user_7297c5dc069e
TXN_001519,ACC_000181,,DEST_000045,2026-06-04T20:00:00+00:00,1290.53,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.207.210,dev_tenant_mobile_09
TXN_001543,ACC_000189,,DEST_000053,2026-06-04T21:00:00+00:00,1342.09,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.133.181,dev_tenant_mobile_17
TXN_001516,ACC_000180,,DEST_000044,2026-06-04T22:00:00+00:00,1508.04,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.161.153,dev_tenant_mobile_08
TXN_001498,ACC_000174,,DEST_000038,2026-06-04T23:00:00+00:00,1912.9,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.238.152,dev_tenant_mobile_02
TXN_001510,ACC_000178,,DEST_000042,2026-06-04T23:00:00+00:00,1747.95,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.212.78,dev_tenant_mobile_06
TXN_001513,ACC_000179,,DEST_000043,2026-06-04T23:00:00+00:00,1373.09,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.120.201,dev_tenant_mobile_07
TXN_001528,ACC_000184,,DEST_000048,2026-06-04T23:00:00+00:00,1631.72,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.23.1,dev_tenant_mobile_12
TXN_001540,ACC_000188,,DEST_000052,2026-06-05T00:00:00+00:00,1610.84,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.11.148,dev_tenant_mobile_16
TXN_001501,ACC_000175,,DEST_000039,2026-06-05T00:00:00+00:00,1884.48,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.155.34,dev_tenant_mobile_03
TXN_001492,ACC_000172,,DEST_000036,2026-06-05T01:00:00+00:00,1471.05,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.13.160,dev_tenant_mobile_00
TXN_001537,ACC_000187,,DEST_000051,2026-06-05T02:00:00+00:00,1752.05,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.238.202,dev_tenant_mobile_15
TXN_001549,ACC_000191,,DEST_000055,2026-06-05T03:00:00+00:00,1773.97,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.166.14,dev_tenant_mobile_19
TXN_001534,ACC_000186,,DEST_000050,2026-06-05T03:00:00+00:00,1857.93,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.44.3,dev_tenant_mobile_14
TXN_001525,ACC_000183,,DEST_000047,2026-06-05T04:00:00+00:00,1604.2,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.121.184,dev_tenant_mobile_11
TXN_001531,ACC_000185,,DEST_000049,2026-06-05T04:00:00+00:00,1584.6,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.107.112,dev_tenant_mobile_13
TXN_001522,ACC_000182,,DEST_000046,2026-06-05T05:00:00+00:00,1647.16,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.179.39,dev_tenant_mobile_10
TXN_001507,ACC_000177,,DEST_000041,2026-06-05T05:00:00+00:00,1774.68,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.99.123,dev_tenant_mobile_05
TXN_003356,ACC_000519,,,2026-06-05T05:33:36+00:00,783.06,USD,withdrawal,settled,Kraken Pay,crypto_exchange,152.205.62.138,dev_user_917bd1fba5af
TXN_001504,ACC_000176,,DEST_000040,2026-06-05T06:00:00+00:00,1530.33,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.76.234,dev_tenant_mobile_04
TXN_001546,ACC_000190,,DEST_000054,2026-06-05T06:00:00+00:00,2160.41,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.143.228,dev_tenant_mobile_18
TXN_001495,ACC_000173,,DEST_000037,2026-06-05T06:00:00+00:00,1250.46,USD,withdrawal,settled,Apex Property Management,real_estate,67.180.238.87,dev_tenant_mobile_01
TXN_003276,ACC_000504,INST_000769,,2026-06-05T07:10:54+00:00,138.51,USD,purchase,settled,Airbnb Reservations,travel,188.168.184.6,dev_user_08ade2a9868d
TXN_001840,ACC_000243,INST_000395,,2026-06-05T09:57:15+00:00,82.18,USD,purchase,settled,Uber Eats,food_delivery,220.170.112.207,dev_user_f1ddf2553cfe
TXN_002339,ACC_000331,INST_000520,,2026-06-05T12:21:06+00:00,269.26,USD,purchase,settled,Razer Gold,gaming_cards,112.226.248.149,dev_user_7297c5dc069e
TXN_001476,ACC_000170,INST_000288,,2026-06-05T22:45:13+00:00,138.04,USD,purchase,settled,Walmart Online,retail,73.189.44.120,dev_family_ipad_living_room
TXN_001400,ACC_000164,INST_000282,,2026-06-06T01:49:18+00:00,83.58,USD,purchase,settled,Walmart Online,retail,73.189.44.120,dev_family_ipad_living_room
TXN_003426,ACC_000530,INST_000807,,2026-06-06T08:53:01+00:00,71.1,USD,purchase,settled,DoorDash,food_delivery,177.147.202.170,dev_user_14d7e036be76
TXN_002825,ACC_000422,INST_000649,,2026-06-06T09:49:48+00:00,11.92,USD,purchase,settled,Google Play Store,digital_goods,217.176.206.23,dev_user_846a0adf9d5c
TXN_003359,ACC_000519,INST_000789,,2026-06-06T10:24:11+00:00,66.41,USD,purchase,settled,Apple App Store,digital_goods,152.205.62.138,dev_user_917bd1fba5af
TXN_003013,ACC_000456,INST_000698,,2026-06-06T16:24:45+00:00,176.27,USD,purchase,settled,Apex Property Management,real_estate,179.11.190.165,dev_user_e680450c24d5
TXN_001403,ACC_000164,INST_000282,,2026-06-06T17:51:08+00:00,52.18,USD,purchase,settled,Walmart Online,retail,73.189.44.120,dev_family_ipad_living_room
TXN_003742,ACC_000587,,,2026-06-07T06:04:08+00:00,687.18,USD,withdrawal,settled,Kraken Pay,crypto_exchange,121.134.78.40,dev_user_1e691fdf15b5
TXN_003302,ACC_000509,INST_000776,,2026-06-07T16:42:44+00:00,46.72,USD,purchase,settled,Apple App Store,digital_goods,173.85.245.86,dev_user_efcd1f33e9d7
TXN_001758,ACC_000227,INST_000369,,2026-06-08T03:21:31+00:00,19.91,USD,purchase,settled,Walmart Online,retail,174.157.170.155,dev_user_1a12aaab48eb
TXN_002750,ACC_000408,INST_000626,,2026-06-08T17:12:48+00:00,33.03,USD,purchase,settled,Steam Games,gaming,169.76.157.105,dev_user_c4ec735c13ca
TXN_001136,ACC_000145,INST_000263,,2026-06-08T17:17:31+00:00,73.65,USD,purchase,settled,Starbucks Rewards,dining,198.51.100.45,dev_student_laptop_cee9a40e
TXN_001157,ACC_000147,INST_000265,,2026-06-09T05:30:30+00:00,41.78,USD,purchase,settled,Target Digital,retail,198.51.100.45,dev_student_laptop_ae7aa558
TXN_001795,ACC_000235,INST_000382,,2026-06-09T16:32:44+00:00,8.48,USD,purchase,settled,Amazon Marketplace,retail,192.3.133.33,dev_user_24236225e957
TXN_001164,ACC_000147,INST_000265,,2026-06-09T19:28:30+00:00,50.99,USD,purchase,settled,Target Digital,retail,198.51.100.45,dev_student_laptop_ae7aa558
TXN_002968,ACC_000446,,DEST_000167,2026-06-09T21:08:46+00:00,384.56,USD,withdrawal,settled,Coinbase Exchange,crypto_exchange,198.76.48.86,dev_user_adf97bc43700
TXN_001737,ACC_000224,INST_000366,,2026-06-10T04:29:52+00:00,466.03,USD,deposit,settled,Coinbase Exchange,crypto_exchange,61.145.5.63,dev_user_6fb8dada74a2
TXN_001134,ACC_000145,INST_000263,,2026-06-10T07:33:43+00:00,31.18,USD,purchase,settled,Amazon Marketplace,retail,198.51.100.45,dev_student_laptop_cee9a40e
TXN_003485,ACC_000541,INST_000821,,2026-06-10T13:33:46+00:00,49.18,USD,purchase,settled,Platform Promo Bonus,promo_reward,195.56.202.109,dev_user_29bcedb40476
TXN_003370,ACC_000521,INST_000791,,2026-06-10T18:52:57+00:00,48.36,USD,purchase,failed,Apple App Store,digital_goods,200.87.195.168,dev_user_0d935b0eb9db
TXN_001553,ACC_000192,INST_000312,,2026-06-11T03:59:07+00:00,65.7,USD,purchase,settled,Google Play Store,digital_goods,36.28.83.84,dev_user_f297fd4814ce
TXN_002337,ACC_000331,INST_000519,,2026-06-11T04:15:39+00:00,76.48,USD,purchase,settled,Walmart Online,retail,112.226.248.149,dev_user_7297c5dc069e
